Killjoy,lotus,3,2023-07-18,0.81,11.1,13.7,4,51.8,3.7,169,0.1,6929
Skye,lotus,3,2023-07-18,0.76,10.8,14.3,6.9,50.8,4.1,162,0.1,7564
Cypher,lotus,3,2023-07-18,0.82,11.3,13.8,4.6,50.6,2.3,167,0.1,4238
Sage,lotus,3,2023-07-18,0.71,10,14.1,5.8,50.0,12.2,150,0.1,22703
Reyna,lotus,3,2023-07-18,0.95,13.8,14.5,4.5,49.9,10.5,204,0.2,19581
Breach,lotus,3,2023-07-18,0.84,11.9,14.1,5.3,49.8,1.5,178,0.1,2818
Raze,lotus,3,2023-07-18,0.88,12.8,14.5,4.9,49.6,7.8,199,0.2,14536
Gekko,lotus,3,2023-07-18,0.76,11,14.5,4.6,49.6,5.2,161,0.1,9651
Chamber,lotus,3,2023-07-18,0.88,12.4,14.2,3.5,49.5,2.1,182,0.2,3846
Brimstone,lotus,3,2023-07-18,0.8,11.3,14.1,5.8,49.4,3.6,172,0.1,6614
Omen,lotus,3,2023-07-18,0.82,11.9,14.5,4.7,49.2,6.2,174,0.1,11479
Jett,lotus,3,2023-07-18,0.87,12.5,14.4,3.6,48.8,5.9,187,0.2,10934
Astra,lotus,3,2023-07-18,0.87,11.6,13.3,4.3,48.7,0.6,175,0.1,1046
Fade,lotus,3,2023-07-18,0.72,10.5,14.5,5.9,48.6,3.9,159,0.1,7198
Deadlock,lotus,3,2023-07-18,0.81,11.6,14.3,3.8,48.5,5.9,168,0.1,10960
Sova,lotus,3,2023-07-18,0.75,10.9,14.4,4.9,48.3,3.7,164,0.1,6873
Neon,lotus,3,2023-07-18,0.82,12.1,14.9,3.9,47.9,4.2,182,0.2,7879
Phoenix,lotus,3,2023-07-18,0.85,12.1,14.4,4.2,47.8,4.8,182,0.1,8967
Yoru,lotus,3,2023-07-18,0.81,11.9,14.6,4.1,47.8,5.1,175,0.1,9495
Viper,lotus,3,2023-07-18,0.76,11,14.4,4.7,47.5,3.2,165,0.1,5993
Harbor,lotus,3,2023-07-18,0.74,10.8,14.6,4.8,46.8,1.0,161,0.1,1860
KAY/O,lotus,3,2023-07-18,0.71,10.4,14.7,7.7,46.7,2.5,160,0.1,4601
Killjoy,haven,3,2023-07-18,0.8,11.1,13.8,3.9,51.3,3.9,167,0.1,7205
Sage,haven,3,2023-07-18,0.72,10.2,14.1,5.5,50.6,12.4,151,0.1,23018
Astra,haven,3,2023-07-18,0.87,11.6,13.3,4.3,50.4,0.5,170,0.1,932
Chamber,haven,3,2023-07-18,0.88,12.1,13.9,3.2,50.2,2.1,178,0.2,3905
Skye,haven,3,2023-07-18,0.75,10.8,14.3,6.3,50.1,3.9,162,0.1,7196
Reyna,haven,3,2023-07-18,0.95,13.7,14.4,4.1,50.1,10.4,202,0.2,19256
Harbor,haven,3,2023-07-18,0.73,10.6,14.6,4.7,49.2,0.9,159,0.1,1582
Cypher,haven,3,2023-07-18,0.81,11.2,13.8,4.5,49.1,2.5,164,0.1,4566
Omen,haven,3,2023-07-18,0.83,12,14.4,4.5,49.1,6.5,174,0.1,12031
Jett,haven,3,2023-07-18,0.88,12.7,14.5,3.5,49.0,6.3,188,0.2,11718
Brimstone,haven,3,2023-07-18,0.81,11.4,14.1,5.3,48.9,3.5,172,0.1,6520
Fade,haven,3,2023-07-18,0.72,10.4,14.6,5.6,48.8,3.7,158,0.1,6907
Yoru,haven,3,2023-07-18,0.82,12,14.6,3.8,48.8,4.9,174,0.1,9191
Sova,haven,3,2023-07-18,0.77,10.9,14.2,4.5,48.7,4.2,164,0.1,7748
Raze,haven,3,2023-07-18,0.85,12.5,14.6,4.4,48.7,7.5,191,0.1,14013
